+====================+===================+=============================+
| Launch Setup Clock | Launch Hold Clock | Pin                         |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[974]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[972]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[126]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1484]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1757]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1553]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1196]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[2012]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1687]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1241]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1436]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1486]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1705]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[718]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[693]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[717]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1485]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[909]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[997]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1516]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1497]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1169]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1197]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1937]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1253]/D |
